"module name","license","repository"
"@angular/animations@14.2.0","MIT","https://github.com/angular/angular"
"@angular/cdk-experimental@14.2.0","MIT","https://github.com/angular/components"
"@angular/cdk@14.2.0","MIT","https://github.com/angular/components"
"@angular/common@14.2.0","MIT","https://github.com/angular/angular"
"@angular/compiler@14.2.0","MIT","https://github.com/angular/angular"
"@angular/core@14.2.0","MIT","https://github.com/angular/angular"
"@angular/flex-layout@14.0.0-beta.40","MIT","https://github.com/angular/flex-layout"
"@angular/forms@14.2.0","MIT","https://github.com/angular/angular"
"@angular/material@14.2.0","MIT","https://github.com/angular/components"
"@angular/platform-browser-dynamic@14.2.0","MIT","https://github.com/angular/angular"
"@angular/platform-browser@14.2.0","MIT","https://github.com/angular/angular"
"@angular/router@14.2.0","MIT","https://github.com/angular/angular"
"@babel/code-frame@7.18.6","MIT","https://github.com/babel/babel"
"@babel/helper-validator-identifier@7.19.1","MIT","https://github.com/babel/babel"
"@babel/highlight@7.18.6","MIT","https://github.com/babel/babel"
"@deepmap/mapbox-gl-draw-circle@1.2.0","MIT","https://gitlab.deepmap.net/deephub/mapbox/mapbox-gl-draw-circle"
"@deepmap/mapbox-gl-draw@1.3.3","ISC","git://gitlab.deepmap.net/MapDev/mapbox-gl-draw"
"@deepmap/mapbox-gl-style-changer@2.0.0","Custom: https://www.flowcate.com",""
"@deepmap/maplibre-gl@2.4.2","BSD-3-Clause","https://github.com/maplibre/maplibre-gl-js"
"@fontsource/open-sans@4.5.13","MIT","https://github.com/fontsource/fontsource"
"@fortawesome/fontawesome-free@6.1.1","(CC-BY-4.0 AND OFL-1.1 AND MIT)","https://github.com/FortAwesome/Font-Awesome"
"@iharbeck/ngx-virtual-scroller@14.0.4","MIT","https://github.com/iharbeck/ngx-virtual-scroller"
"@mapbox/extent@0.4.0","ISC","https://github.com/mapbox/extent"
"@mapbox/fusspot@0.4.0","BSD*","https://github.com/mapbox/fusspot"
"@mapbox/geojson-area@0.2.2","BSD-2-Clause","https://github.com/mapbox/geojson-area"
"@mapbox/geojson-coords@0.0.2","ISC","https://github.com/mapbox/geojson-coords"
"@mapbox/geojson-extent@1.0.1","ISC","https://github.com/mapbox/geojson-extent"
"@mapbox/geojson-normalize@0.0.1","ISC","https://github.com/mapbox/geojson-normalize"
"@mapbox/geojson-rewind@0.5.2","ISC","https://github.com/mapbox/geojson-rewind"
"@mapbox/geojson-types@1.0.2","ISC",""
"@mapbox/jsonlint-lines-primitives@2.0.2","Custom: https://github.com/tmcw/jsonlint","https://github.com/mapbox/jsonlint"
"@mapbox/mapbox-gl-geocoder@5.0.1","ISC","https://github.com/mapbox/mapbox-gl-geocoder"
"@mapbox/mapbox-gl-supported@2.0.1","BSD-3-Clause","https://github.com/mapbox/mapbox-gl-supported"
"@mapbox/mapbox-sdk@0.13.6","BSD-2-Clause","https://github.com/mapbox/mapbox-sdk-js"
"@mapbox/parse-mapbox-token@0.2.0","BSD-2-Clause","https://github.com/mapbox/parse-mapbox-token"
"@mapbox/point-geometry@0.1.0","ISC","https://github.com/mapbox/point-geometry"
"@mapbox/polyline@1.1.1","BSD*","https://github.com/mapbox/polyline"
"@mapbox/tiny-sdf@2.0.5","BSD-2-Clause","https://github.com/mapbox/tiny-sdf"
"@mapbox/unitbezier@0.0.0","BSD-2-Clause","https://github.com/mapbox/unitbezier"
"@mapbox/unitbezier@0.0.1","BSD-2-Clause","https://github.com/mapbox/unitbezier"
"@mapbox/vector-tile@1.3.1","BSD-3-Clause","https://github.com/mapbox/vector-tile-js"
"@mapbox/whoots-js@3.1.0","ISC","https://github.com/mapbox/whoots-js"
"@maptiler/geocoder@1.1.0","BSD-2-Clause","https://github.com/maptiler/geocoder"
"@sindresorhus/is@4.6.0","MIT","https://github.com/sindresorhus/is"
"@sphinxxxx/color-conversion@2.2.2","ISC","https://github.com/Sphinxxxx/color-conversion"
"@szmarczak/http-timer@4.0.6","MIT","https://github.com/szmarczak/http-timer"
"@turf/along@6.5.0","MIT","https://github.com/Turfjs/turf"
"@turf/area@6.5.0","MIT","https://github.com/Turfjs/turf"
"@turf/bbox@6.5.0","MIT","https://github.com/Turfjs/turf"
"@turf/bearing@6.5.0","MIT","https://github.com/Turfjs/turf"
"@turf/centroid@6.5.0","MIT","https://github.com/Turfjs/turf"
"@turf/circle@6.5.0","MIT","https://github.com/Turfjs/turf"
"@turf/clone@6.5.0","MIT","https://github.com/Turfjs/turf"
"@turf/destination@6.5.0","MIT","https://github.com/Turfjs/turf"
"@turf/distance@6.5.0","MIT","https://github.com/Turfjs/turf"
"@turf/helpers@6.5.0","MIT","https://github.com/Turfjs/turf"
"@turf/invariant@6.5.0","MIT","https://github.com/Turfjs/turf"
"@turf/length@6.5.0","MIT","https://github.com/Turfjs/turf"
"@turf/meta@6.5.0","MIT","https://github.com/Turfjs/turf"
"@turf/rhumb-bearing@6.5.0","MIT","https://github.com/Turfjs/turf"
"@turf/rhumb-destination@6.5.0","MIT","https://github.com/Turfjs/turf"
"@turf/rhumb-distance@6.5.0","MIT","https://github.com/Turfjs/turf"
"@turf/transform-rotate@6.5.0","MIT","https://github.com/Turfjs/turf"
